Row Labels,Average of Active,Average of Reinfs,Average of VR5rate,Average of VR5rateD1,Average of VR5rateD2,Average of VR5rateD3,Average of All_6_firstCP_X,Average of All_6_firstCP_Y,Average of ActiveBC,Average of ReinfsBC,Average of VR5activeBC,Average of VR5activeD1BC,Average of VR5activeD2BC,Average of VR5activeD3BC,Average of All_6_firstCP_X_BC,Average of All_6_firstCP_Y_BC
MRL.MpJ,6635.5,1494,0.089946659,0.08445,0.095567225,0.089782565,3546.11,10.5,22.58542191,21.7927217,16.48001038,5.449070169,8.635001644,13.8687029,12.96447832,2.201444327
NOD.ShiLtJ,5414,1255.4,0.0703,0.06928,0.054631884,0.08704,6320.362,13.2,21.41322955,20.56798496,15.6773466,5.114873666,8.010671113,13.77685192,13.6014236,2.56814801
NON.ShiLtJ,6324,1462.5,0.09085,0.084866414,0.0989,0.088744367,4438.2,20,22.33456514,21.64999156,16.33936269,5.402147826,8.619896394,13.7712813,13.25601376,3.156640864
NOR.LtJ,3244,838,0.040612693,0.05335,0.02625,0.04225,10026.225,6,19.06403225,18.22593445,14.0627252,4.960902517,7.246561371,12.07836284,14.32276339,1.835916264
NZB.BlNJ,3329.5,846.5,0.0516,0.02805,0.066610893,0.060166749,23914.35,24.5,17.64457302,17.28464283,12.75246203,2.63342855,6.908192428,11.38387353,15.91068991,3.226484527
NZW.LacJ,2483,697.5,0.044526182,0.0721,0.026684568,0.0348,17141.045,7,17.1169347,16.81434056,12.31239236,3.954814054,6.756809033,10.85987506,16.89343569,1.971233183
P.J,722,324,0.007785,0.00635,0.00972,0.00732,23680.55,25.5,12.91263894,13.33142941,8.494867652,1.998110019,5.060297485,6.890818264,17.46223297,3.43341235
PL.J,803.5,265.5,0.00995,0.00915,0.01145,0.00925,44195.235,24,9.285737516,9.227780622,5.833248071,2.167048062,3.472240066,4.607827229,17.84896722,2.993276132
RIIIS.J,1656.2,535,0.01742,0.01467,0.0169929,0.020588,4431.548,22.2,15.78305233,15.63647789,11.30501838,3.4503876,6.440612832,9.409004949,13.22854121,3.235021368
SEA.GnJ,3193,796.5,0.03892741,0.0113,0.03845,0.067,16154.485,20,18.97564054,17.93685467,14.03326828,2.253703754,7.512610799,13.26028864,16.11652405,3.127433394
SJL.J,1225.8,330.6,0.023325083,0,0.011258,0.05872,64309.704,12.2,12.7355228,11.86132603,9.082085674,0,1.970224644,9.381746348,20.87132361,2.570718754
SM.J,3664.666667,911.6666667,0.054466667,0.043566667,0.050165773,0.069605116,15264.65333,13.66666667,19.27637294,18.4437871,14.22935621,3.350694767,7.300176333,13.08172268,16.42357085,2.719378766
(blank),,,,,,,,,,,,,,,,
Grand Total,2094.831579,528.5087719,0.030620833,0.027162381,0.02770105,0.036998306,25727.48772,10.44561404,12.55785588,12.19288214,8.429301913,2.242642739,4.06380436,7.325179515,15.20932926,1.769513788
