"","hub_genes","GS1.FilterGenes.","datKME.MM.turquoise.FilterGenes.","geneInfo0.geneSymbol.FilterGenes."
"172","ILMN_2606862",0.523409321527304,-0.824083955462983,"CACNB2"
"173","ILMN_2607160",0.570568665259663,-0.815833745592059,"PUM2"
"174","ILMN_2607377",0.340768089421887,-0.820171134869506,"ITM2A"
"175","ILMN_2608429",0.444442067018815,-0.931983943510887,"ATP6V0D1"
"176","ILMN_2609457",0.372613917672479,-0.902715844107483,"GORASP2"
"177","ILMN_2612350",0.283553622178108,-0.830831867634353,"STX18"
"178","ILMN_2613641",0.366838367186414,-0.819907257984089,"LOC100045617"
"179","ILMN_2614895",0.501833920314227,-0.856147944771395,"NUS1"
"180","ILMN_2615170",0.449060208567432,-0.849462740290045,"ACAD8"
"181","ILMN_2615741",0.435703312432124,-0.809662325579125,"EIF3S8"
"182","ILMN_2615855",0.462945059013243,-0.87317140585223,"HNRNPA2B1"
"183","ILMN_2616422",0.457557884242754,-0.844907716810881,"2310005E10RIK"
"184","ILMN_2616768",0.496676842127716,-0.91462894740072,"TMEM49"
"185","ILMN_2617433",0.510062934944894,-0.876502136932299,"ACTB"
"186","ILMN_2618549",0.37361623568825,-0.917741913973101,"RAB7"
"187","ILMN_2619249",0.436394940784522,-0.906311148757636,"SNX14"
"188","ILMN_2621697",0.436235587543786,-0.839978608854468,"ACSL6"
"189","ILMN_2622735",-0.440968304207226,0.91025233710372,"RNF40"
"190","ILMN_2626309",0.467610012696246,-0.870832542375373,"RBM18"
"191","ILMN_2626939",-0.388120664458557,0.807857486287292,"DAXX"
"192","ILMN_2628657",0.434024075542317,-0.953298181842419,"ATP6AP2"
"193","ILMN_2628658",0.443031884449853,-0.960343581113708,"ATP6AP2"
"194","ILMN_2629591",0.413588212525523,-0.941908684036404,"ASAH1"
"195","ILMN_2629982",0.554991466697039,-0.811383255123521,"HDHD2"
"196","ILMN_2630593",0.501159032459193,-0.860920353574267,"EMD"
"197","ILMN_2630605",-0.465235152917419,0.825753486074348,"FSCN1"
"198","ILMN_2630641",0.481128018228754,-0.840991884795105,"SRM"
"199","ILMN_2630975",0.306422636328983,-0.867766368347296,"GDI1"
"200","ILMN_2632076",0.367566788306748,-0.805285361825134,"CTPS2"
"201","ILMN_2632299",0.292038458775052,-0.850865825807867,"GDI1"
"202","ILMN_2632940",0.41599102852293,-0.882403918515486,"SUMO1"
"203","ILMN_2632942",0.416057698402827,-0.916870027107587,"SUMO1"
"204","ILMN_2633872",0.267275885825461,-0.854973478241343,"CDK10"
"205","ILMN_2636360",0.236847486148035,-0.804683658701007,"SCOTIN"
"206","ILMN_2637792",0.546446566307371,-0.818311800804663,"CRYZ"
"207","ILMN_2638066",0.400438031527132,-0.815910567861736,"GRIA3"
"208","ILMN_2639036",0.481976291225,-0.966240428264868,"HSPD1"
"209","ILMN_2639454",0.503958938898539,-0.922700406794315,"SMU1"
"210","ILMN_2640082",0.31953190450746,-0.842302536465347,"ATP6V1G2"
"211","ILMN_2640742",0.557684571943692,-0.876749228431056,"UBE2K"
"212","ILMN_2642411",0.327010665028586,-0.830897499671121,"2310035C23RIK"
"213","ILMN_2643915",0.434247870508322,-0.885266944009293,"ETV1"
"214","ILMN_2645171",0.300334050689132,-0.885164866571742,"EEF1A2"
"215","ILMN_2645439",0.324270652654212,-0.827818419569891,"BMI1"
"216","ILMN_2646938",0.388924722049223,-0.870637241555481,"MTX1"
"217","ILMN_2647627",0.440719888990913,-0.843068045310273,"PPP1CB"
"218","ILMN_2647628",0.473300429955667,-0.870394272821411,"PPP1CB"
"219","ILMN_2648397",0.402919814419332,-0.951938222875253,"ANAPC5"
"220","ILMN_2649709",0.475788069755982,-0.891220113073681,"ETV1"
"221","ILMN_2649828",0.473676780840199,-0.898662236701553,"MAPK1"
"222","ILMN_2650868",0.319224315654354,-0.801900865391272,"INO80C"
"223","ILMN_2651197",0.467785454767141,-0.819982666581101,"PTPN12"
"224","ILMN_2655668",0.359762848881869,-0.863603392527767,"SEC61A2"
"225","ILMN_2658219",0.432073145517702,-0.864116565026133,"M6PR"
"226","ILMN_2659062",0.385712897435857,-0.851146160913174,"ADD1"
"227","ILMN_2659063",0.415780847726843,-0.842859801500409,"ADD1"
"228","ILMN_2659503",0.441123056141324,-0.895298186975198,"CDH13"
"229","ILMN_2660182",0.346658061735322,-0.817366034803504,"ACOT7"
"230","ILMN_2660267",0.415250795951516,-0.82802016671026,"DNM1L"
"231","ILMN_2661107",0.474354486661485,-0.891508523461958,"ATL2"
"232","ILMN_2663555",0.318743274731464,-0.877814953032794,"ASB3"
